date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:47	17933/17933	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2024%20Sep%202024%2010:48:55%20GMT	https://techsometimes.com/products/html/sunplus-html/assets/js/index.min.js	C:/Users/HP/Desktop/Internship/solarpannel/solar%20pannel/techsometimes.com/products/html/sunplus-html/assets/js/index.min.js	(from https://techsometimes.com/products/html/sunplus-html/)
10:09:48	25392/25392	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2024%20Sep%202024%2009:50:29%20GMT	https://techsometimes.com/products/html/sunplus-html/assets/all-icons/icomoon.eot?74zehw	C:/Users/HP/Desktop/Internship/solarpannel/solar%20pannel/techsometimes.com/products/html/sunplus-html/assets/all-icons/icomoon28a0.eot	(from https://techsometimes.com/products/html/sunplus-html/assets/all-icons/myicon.css)
10:09:48	25228/25228	---M--	200	added ('OK')	font/ttf	date:Tue,%2024%20Sep%202024%2009:50:29%20GMT	https://techsometimes.com/products/html/sunplus-html/assets/all-icons/icomoon.ttf?74zehw	C:/Users/HP/Desktop/Internship/solarpannel/solar%20pannel/techsometimes.com/products/html/sunplus-html/assets/all-icons/icomoon28a0.ttf	(from https://techsometimes.com/products/html/sunplus-html/assets/all-icons/myicon.css)
10:09:48	25304/25304	---M--	200	added ('OK')	font/woff	date:Tue,%2024%20Sep%202024%2009:50:29%20GMT	https://techsometimes.com/products/html/sunplus-html/assets/all-icons/icomoon.woff?74zehw	C:/Users/HP/Desktop/Internship/solarpannel/solar%20pannel/techsometimes.com/products/html/sunplus-html/assets/all-icons/icomoon28a0.woff	(from https://techsometimes.com/products/html/sunplus-html/assets/all-icons/myicon.css)
10:09:49	93649/93649	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2024%20Sep%202024%2009:50:29%20GMT	https://techsometimes.com/products/html/sunplus-html/assets/all-icons/icomoon.svg?74zehw	C:/Users/HP/Desktop/Internship/solarpannel/solar%20pannel/techsometimes.com/products/html/sunplus-html/assets/all-icons/icomoon28a0.svg	(from https://techsometimes.com/products/html/sunplus-html/assets/all-icons/myicon.css)
10:09:49	9913/9913	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Sep%202024%2019:07:12%20GMT	https://techsometimes.com/products/html/sunplus-html/assets/img/about/v2/profile-img.png	C:/Users/HP/Desktop/Internship/solarpannel/solar%20pannel/techsometimes.com/products/html/sunplus-html/assets/img/about/v2/profile-img.png	(from https://techsometimes.com/products/html/sunplus-html/index-2.html)
10:09:50	130982/130982	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Aug%202024%2016:31:06%20GMT	https://techsometimes.com/products/html/sunplus-html/assets/img/banner/v2/bg-img.jpg	C:/Users/HP/Desktop/Internship/solarpannel/solar%20pannel/techsometimes.com/products/html/sunplus-html/assets/img/banner/v2/bg-img.jpg	(from https://techsometimes.com/products/html/sunplus-html/index-2.html)
10:09:51	10270/10270	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202024%2019:07:12%20GMT	https://techsometimes.com/products/html/sunplus-html/assets/img/about/v2/small-img.jpg	C:/Users/HP/Desktop/Internship/solarpannel/solar%20pannel/techsometimes.com/products/html/sunplus-html/assets/img/about/v2/small-img.jpg	(from https://techsometimes.com/products/html/sunplus-html/index-2.html)
10:09:51	54170/54170	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202024%2019:07:12%20GMT	https://techsometimes.com/products/html/sunplus-html/assets/img/about/v2/big-img.jpg	C:/Users/HP/Desktop/Internship/solarpannel/solar%20pannel/techsometimes.com/products/html/sunplus-html/assets/img/about/v2/big-img.jpg	(from https://techsometimes.com/products/html/sunplus-html/index-2.html)
10:09:52	45399/45399	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Sep%202024%2005:38:58%20GMT	https://techsometimes.com/products/html/sunplus-html/assets/img/fun-facts/v3/bg-img.jpg	C:/Users/HP/Desktop/Internship/solarpannel/solar%20pannel/techsometimes.com/products/html/sunplus-html/assets/img/fun-facts/v3/bg-img.jpg	(from https://techsometimes.com/products/html/sunplus-html/index-2.html)
